Company Name,Employees,Website,Domain,Company Street,Company City,Company State,Company Country,Annual Revenue,Source
Instacart,"3,300",http://www.instacart.com,instacart.com,50 Beale Street,San Francisco,California,United States,"$3,378,000,000",Dream Companies Eng & Security
Meltwater,"3,200",http://www.meltwater.com,meltwater.com,115 Sansome St,San Francisco,California,United States,"$500,000,000",Unbound Account List
One Medical,"3,100",http://www.onemedical.com,onemedical.com,1 Embarcadero Center,San Francisco,California,United States,"$1,045,547,000",Unbound Account List
Confluent,"3,100",http://www.confluent.io,confluent.io,899 W Evelyn Ave,Mountain View,California,United States,"$963,642,000",Dream Companies Eng & Security
Rubrik,"3,000",http://www.rubrik.com,rubrik.com,3 Polaris Way,Palo Alto,California,United States,"$784,000,000",Security Companies Added
BairesDev,"2,900",http://www.bairesdev.com,bairesdev.com,2 Embarcadero Center,San Francisco,California,United States,"$338,000,000",Unbound Account List
SentinelOne,"2,800",http://www.sentinelone.com,sentinelone.com,444 Castro St,Mountain View,California,United States,"$821,461,000",Dream Companies Eng & Security
Flexport,"2,800",http://www.flexport.com,flexport.com,760 Market Street,San Francisco,California,United States,"$2,100,000,000",Dream Companies Eng & Security
Rapid7,"2,500",http://www.rapid7.com,rapid7.com,120 Causeway Street,Boston,Massachusetts,United States,"$844,007,000",Dream Companies Eng & Security
Lime,"2,500",http://www.li.me,li.me,85 2nd Street,San Francisco,California,United States,"$686,000,000",Unbound Account List
Gusto,"2,500",http://www.gusto.com,gusto.com,525 20th Street,San Francisco,California,United States,"$500,000,000",Dream Companies Eng & Security
Klaviyo,"2,400",http://www.klaviyo.com,klaviyo.com,125 Summer St,Boston,Massachusetts,United States,"$937,464,000",Dream Companies Eng & Security
alteryx,"2,400",http://www.alteryx.com,alteryx.com,3347 Michelson Drive,Irvine,California,United States,"$970,000,000",Dream Companies Eng & Security
Robinhood,"2,300",http://www.robinhood.com,robinhood.com,85 Willow Road,West Menlo Park,California,United States,"$2,951,000,000",Dream Companies Eng & Security
Dropbox,"2,300",http://www.dropbox.com,dropbox.com,1800 Owens St,San Francisco,California,United States,"$2,548,200,000",Dream Companies Eng & Security
WRITER,"2,200",http://www.writer.com,writer.com,140 Geary St,San Francisco,California,United States,"$47,000,000",Unbound Account List
SpotOn,"2,200",http://www.spoton.com,spoton.com,100 California St,San Francisco,California,United States,"$750,000,000",Unbound Account List
New Relic,"2,200",http://www.newrelic.com,newrelic.com,188 Spear Street,San Francisco,California,United States,"$987,000,000",Dream Companies Eng & Security
Bill.com,"2,200",http://www.bill.com,bill.com,,San Francisco,California,United States,"$1,422,886,000",Unbound Account List
BILL,"2,200",http://www.bill.com,bill.com,6220 America Center Dr,San Jose,California,United States,"$1,499,861,000",Dream Companies Eng & Security
Zeta Suite,"2,100",http://www.zeta.tech,zeta.tech,,Daly City,California,United States,"$1,006,000,000",Unbound Account List
Affirm,"2,100",http://www.affirm.com,affirm.com,650 California Street,San Francisco,California,United States,"$3,224,412,000",Dream Companies Eng & Security
Included Health,"2,000",http://www.includedhealth.com,includedhealth.com,1 California St,San Francisco,California,United States,"$344,800,000",Unbound Account List
"GitLab, Inc.","2,000",http://www.gitlab.com,gitlab.com,268 Bush St #350,San Francisco,California,United States,"$600,000,000",Dream Companies Eng & Security
Dyninno Group,"2,000",http://www.dyninno.com,dyninno.com,,San Francisco,California,United States,"$1,000,000,000",Unbound Account List
Arctic Wolf,"2,000",http://www.arcticwolf.com,arcticwolf.com,8939 Columbine Road,Eden Prairie,Minnesota,United States,"$500,000,000",Security Companies Added
Tenable,"1,900",http://www.tenable.com,tenable.com,6100 Merriweather Dr,Columbia,Maryland,United States,"$974,603,000",Dream Companies Eng & Security
Wiz,"1,800",http://www.wiz.io,wiz.io,431 9th Ave,New York,New York,United States,"$200,000,000",Dream Companies Eng & Security
Taskrabbit,"1,800",http://www.taskrabbit.com,taskrabbit.com,425 2nd Street,San Francisco,California,United States,"$70,000,000",Unbound Account List
Square,"1,800",http://www.squareup.com,squareup.com,1455 Market Street,San Francisco,California,United States,"$1,012,336,000",Unbound Account List
